variable,bin,woe
pay_3,"(-1.0, 0.0]",-0.2952967552252091
pay_3,"(-2.001, -1.0]",-0.341797155795818
pay_3,"(0.0, 8.0]",1.3494123269463172
pay_0,"(-1.0, 0.0]",-0.659059219253808
pay_0,"(-2.001, -1.0]",-0.42818743721945474
pay_0,"(0.0, 1.0]",0.5930676358985529
pay_0,"(1.0, 8.0]",2.084753693693166
num_overdue,"(-0.001, 1.0]",-0.4757684679420495
num_overdue,"(1.0, 6.0]",1.372572673427206
limit_bal,"(100000.0, 180000.0]",-0.13640827384196016
limit_bal,"(180000.0, 270000.0]",-0.3368673709417797
limit_bal,"(270000.0, 500000.0]",-0.5735989225587115
limit_bal,"(50000.0, 100000.0]",0.20221381758758686
limit_bal,"(9999.999, 50000.0]",0.49512545260083624
pay_5,"(-1.0, 0.0]",-0.2009097983594733
pay_5,"(-2.001, -1.0]",-0.2733915812601596
pay_5,"(0.0, 8.0]",1.481968484678801
marriage,"(-0.001, 1.0]",0.07370354566871683
marriage,"(1.0, 2.0]",-0.07056324422190707
marriage,"(2.0, 3.0]",0.21302149509709212
sex,"(0.999, 2.0]",0.0
pay_4,"(-1.0, 0.0]",-0.23554201182722168
pay_4,"(-2.001, -1.0]",-0.30238470256516903
pay_4,"(0.0, 8.0]",1.4002226074504447
pay_2,"(-1.0, 0.0]",-0.406082293914761
pay_2,"(-2.001, -1.0]",-0.3373838276466104
pay_2,"(0.0, 8.0]",1.4913577694687141
pay_ratio,"(-0.001, 0.0387]",0.4546668520192952
pay_ratio,"(0.0387, 0.0564]",0.1520579092645383
pay_ratio,"(0.0564, 0.167]",0.11694077741169909
pay_ratio,"(0.167, 0.754]",-0.4346792128512262
pay_ratio,"(0.754, 3.0]",-0.46808960773199065
pay_6,"(-1.0, 0.0]",-0.20146470574452802
pay_6,"(-2.001, -1.0]",-0.231317038578921
pay_6,"(0.0, 8.0]",1.3516293816198433
