variable,iv
pay_0,0.6842061528538025
num_overdue,0.669652731651571
pay_2,0.540878572412865
pay_3,0.41085009411620205
pay_4,0.3592053286025
pay_5,0.3293318558599451
pay_6,0.2883934013933994
pay_avg,0.19182786462678547
limit_bal,0.1753596897033049
pay_amt1,0.14342150837302406
pay_amt2,0.1382416379356552
pay_ratio,0.12546524233930129
pay_amt3,0.11554001873853215
pay_amt6,0.09406780275706465
pay_amt4,0.08989112506731532
pay_amt5,0.08105101900873463
utilization,0.05887212005493765
bill_amt1,0.005095026464087471
bill_amt6,0.0020507356703425095
education,0.0016787529012369214
age,0.001528464542701631
bill_avg,0.0010071464903723903
bill_amt2,0.000865131624207784
marriage,0.0005233572487412818
id,0.0005213567202595039
bill_amt5,0.0004367295238071337
bill_amt3,0.00019409442478884626
bill_amt4,5.6610625661828975e-05
sex,0.0
