feature,logistic_coef,rf_importance,gbm_importance
pay_3,6.567685541586205e-11,0.06316765047667264,0.008934558105056103
pay_0,8.424671811602521e-11,0.34038284946490116,0.5790603161692378
num_overdue,9.912851471355976e-11,0.2830409139064767,0.21933528102794903
limit_bal,-6.992080986390267e-06,0.024156146865761452,0.05117536159861704
pay_5,6.218595381000992e-11,0.04004667583280664,0.006692140567898142
marriage,-1.1151638384394535e-10,0.0011849770664110883,0.007005836098832006
sex,-1.1087423488529402e-10,0.0013396554111488558,0.002450034910760489
pay_4,6.372673655528482e-11,0.04834451465937547,0.00650223256764164
pay_2,7.259187450294059e-11,0.14756869369635792,0.021322392925945295
pay_ratio,-2.8170289030676733e-11,0.03163690761111463,0.08797673881962467
pay_6,6.113868836964737e-11,0.019131015008973684,0.009545107208437527
