variable,bin,woe,score
pay_3,"(-1.0, 0.0]",-0.2952967552252091,1.3989930884543219e-09
pay_3,"(-2.001, -1.0]",-0.341797155795818,1.6192926273335275e-09
pay_3,"(0.0, 8.0]",1.3494123269463172,-6.392953818382495e-09
pay_0,"(-1.0, 0.0]",-0.659059219253808,4.005179406586462e-09
pay_0,"(-2.001, -1.0]",-0.42818743721945474,2.6021447779034082e-09
pay_0,"(0.0, 1.0]",0.5930676358985529,-3.6041408914713057e-09
pay_0,"(1.0, 8.0]",2.084753693693166,-1.2669290282045753e-08
num_overdue,"(-0.001, 1.0]",-0.4757684679420495,3.4020351591520703e-09
num_overdue,"(1.0, 6.0]",1.372572673427206,-9.814733022743061e-09
limit_bal,"(100000.0, 180000.0]",-0.13640827384196016,-6.880051774474477e-05
limit_bal,"(180000.0, 270000.0]",-0.3368673709417797,-0.00016990647912572683
limit_bal,"(270000.0, 500000.0]",-0.5735989225587115,-0.0002893072519603113
limit_bal,"(50000.0, 100000.0]",0.20221381758758686,0.00010199099331237042
limit_bal,"(9999.999, 50000.0]",0.49512545260083624,0.00024972742875557167
pay_5,"(-1.0, 0.0]",-0.2009097983594733,9.012348164402669e-10
pay_5,"(-2.001, -1.0]",-0.2733915812601596,1.226371304760689e-09
pay_5,"(0.0, 8.0]",1.481968484678801,-6.647767337211024e-09
marriage,"(-0.001, 1.0]",0.07370354566871683,5.928865556960572e-10
marriage,"(1.0, 2.0]",-0.07056324422190707,-5.676253217655351e-10
marriage,"(2.0, 3.0]",0.21302149509709212,1.7135889375664867e-09
sex,"(0.999, 2.0]",0.0,0.0
pay_4,"(-1.0, 0.0]",-0.23554201182722168,1.082765980761066e-09
pay_4,"(-2.001, -1.0]",-0.30238470256516903,1.3900359706542992e-09
pay_4,"(0.0, 8.0]",1.4002226074504447,-6.436700582960207e-09
pay_2,"(-1.0, 0.0]",-0.406082293914761,2.1264080518882814e-09
pay_2,"(-2.001, -1.0]",-0.3373838276466104,1.7666756183051661e-09
pay_2,"(0.0, 8.0]",1.4913577694687141,-7.809341152682913e-09
pay_ratio,"(-0.001, 0.0387]",0.4546668520192952,9.239088748586343e-10
pay_ratio,"(0.0387, 0.0564]",0.1520579092645383,3.0899031068135546e-10
pay_ratio,"(0.0564, 0.167]",0.11694077741169909,2.3763030360293734e-10
pay_ratio,"(0.167, 0.754]",-0.4346792128512262,-8.832928564864235e-10
pay_ratio,"(0.754, 3.0]",-0.46808960773199065,-9.511846770706075e-10
pay_6,"(-1.0, 0.0]",-0.20146470574452802,8.88504505785274e-10
pay_6,"(-2.001, -1.0]",-0.231317038578921,1.0201599842649346e-09
pay_6,"(0.0, 8.0]",1.3516293816198433,-5.960988508050933e-09
